index,time,x,y,z,intensity
97,1580970552780,3.71007000000006E-05,0.0003608397,0.0007334808,1
98,1580970552786,3.71007000000006E-05,0.0003608397,0.0008738808,1
99,1580970552791,-0.0002046993,0.0003413397,0.0008738808,1
100,1580970552797,9.80069999999972E-06,0.0003842397,0.0003434808,1
101,1580970552803,4.8800700000004E-05,0.0002672397,0.0007373808,1
102,1580970552809,4.8800700000004E-05,0.0002672397,0.0007373808,1
103,1580970552814,-7.59992999999973E-05,0.0004193397,0.0008426808,1
104,1580970552820,-9.15993000000018E-05,0.0003725397,0.0009791808,1
105,1580970552826,-0.0001773993,0.0002009397,0.0006242808,1
106,1580970552832,-0.0001773993,0.0002009397,0.0006242808,1
107,1580970552838,-0.0001461993,0.0003296397,0.0005891808,1
108,1580970552843,-3.69992999999999E-05,0.0002789397,0.0007178808,1
109,1580970552849,-0.0001344993,0.0003218397,0.0008582808,1
110,1580970552859,-0.0001149993,2.15396999999999E-05,0.0007061808,1
111,1580970552865,-0.0001149993,0.0001892397,0.0005657808,1
112,1580970552871,-0.0001773993,0.0001892397,0.0005657808,1
113,1580970552876,-0.0001539993,0.0001463397,0.0008153808,1
114,1580970552882,-4.47992999999952E-05,0.0002399397,0.0009050808,1
115,1580970552888,-4.47992999999952E-05,0.0002399397,0.0009050808,1
116,1580970552894,-4.0899300000001E-05,0.0002204397,0.0008855808,1
117,1580970552899,1.7600700000002E-05,0.0002009397,0.0005072808,1
118,1580970552905,-8.37992999999995E-05,0.0002282397,0.0008816808,1
119,1580970552911,-8.37992999999995E-05,0.0002282397,0.0008816808,1
120,1580970552917,-4.0899300000001E-05,0.0003491397,0.0010844808,1
121,1580970552923,-4.0899300000001E-05,0.0004466397,0.0009440808,1
122,1580970552928,-0.0001110993,0.0003257397,0.0008114808,1
123,1580970552934,-0.0001110993,0.0003257397,0.0008114808,1
124,1580970552940,-0.0001539993,0.0002477397,0.0007490808,1
0,1580970552954,2.15007000000031E-05,0.0002594397,0.0007724808,1
1,1580970552960,0.0001229007,0.0001541397,0.0006866808,1
2,1580970552966,0.0001229007,0.0001541397,0.0006866808,1
3,1580970552972,-4.47992999999952E-05,0.0002048397,0.0009713808,1
4,1580970552977,3.32006999999995E-05,0.0002360397,0.0011312808,1
5,1580970552986,3.32006999999995E-05,0.0003725397,0.0008660808,1
6,1580970552992,-0.0001656993,0.0002789397,0.0009596808,1
7,1580970552998,-0.0001656993,0.0002789397,0.0009596808,1
8,1580970553112,-0.0001617993,0.0002126397,0.0011078808,1
9,1580970553120,-0.0001617993,0.0002126397,0.0010376808,1
10,1580970553126,-6.42993000000008E-05,0.0004232397,0.0010142808,1
11,1580970553131,-6.03992999999997E-05,0.0002048397,0.0010142808,1
12,1580970553137,4.8800700000004E-05,0.0001658397,0.0009401808,1
13,1580970553143,-2.13992999999954E-05,0.0002438397,0.0009791808,1
14,1580970553149,-2.13992999999954E-05,0.0002438397,0.0009791808,1
15,1580970553154,-0.0002280993,0.0003803397,0.0011975808,1
16,1580970553160,9.80069999999972E-06,0.0002282397,0.0006476808,1
17,1580970553166,2.00070000000441E-06,9.95397000000016E-05,0.0006047808,1
